Nom;Aspect;Curvature;DEM;Density_river;Density_road;Distance_river;Distance_road;Flow_direction;NDBI;NDVI;NDWI;Slope;TWI_final;Rainfall
Yes;0;0,527473;0,00055;0,433585;0,13864;0,012948;0,026341;0,059055;0,365946;0,810558;0,634054;0;0,625813;0,825626
Yes;0;0,527473;0,00055;0,34917;0,142729;0,026646;0,004634;0,059055;0,337902;0,873488;0,662098;0;0,618928;0,828315
Yes;0;0,527473;0,00055;0,347311;0,119714;0,023916;0,009408;0,059055;0,308749;0,888579;0,691251;0;0,592544;0,829392
Yes;0;0,527473;0,00055;0,475282;0,132837;0,110447;0,027499;0,059055;0,324801;0,891134;0,675199;0;0,635374;0,82203
Yes;0;0,527473;0,00055;0,490304;0,122565;0,018842;0,011669;0,059055;0,335473;0,870198;0,664527;0;0,651375;0,817761
Yes;0;0,527473;0,00055;0,493276;0,126256;0,081648;0,016644;0,059055;0,328384;0,892845;0,671616;0;0,644314;0,819685
Yes;0;0,527473;0,001649;0,495769;0,122993;0,047104;0,002047;0,248031;0,47271;0,764289;0,52729;0;0,396153;0,815521
Yes;0,87615;0,527473;0,001649;0,371294;0,090829;0,112745;0,006672;0,059055;0,350376;0,8554;0,649624;0,013862;0,518315;0,864578
Yes;0,626614;0,549451;0,002749;0,368668;0,091012;0,057904;0,007693;0,059055;0,337561;0,882359;0,662439;0,041551;0,184965;0,866139
Yes;0,626614;0,527473;0,002199;0,393482;0,090755;0,119373;0,008251;0,011811;0,339759;0,884128;0,660241;0,013862;0,385591;0,869659
Yes;0;0,527473;0,002199;0,425146;0,09421;0,065946;0,002047;0,011811;0,348502;0,876703;0,651498;0;0,502622;0,885452
Yes;0;0,527473;0,00055;0,262524;0,134327;0,115168;0,006672;0;0,418451;0,82388;0,581549;0;0,58654;0,855785
Yes;0;0,527473;0,00055;0,316778;0,148689;0,14187;0,001447;0;0,307283;0,891249;0,692717;0;0,607737;0,838034
Yes;0;0,527473;0,00055;0,319964;0,145862;0,040824;0,013654;0;0,310581;0,879644;0,689419;0;0,473343;0,836396
Yes;0;0,527473;0,00055;0,317771;0,141604;0,00314;0,011234;0,059055;0,303027;0,887615;0,696973;0;0,546218;0,83333
Yes;0;0,527473;0,00055;0,319056;0,134362;0,039722;0,026697;0,059055;0,309491;0,879335;0,690508;0;0,580397;0,830512
Yes;0;0,527473;0,002199;0,482112;0,096446;0,036756;0,002288;0,011811;0,336472;0,882205;0,663528;0;0,480907;0,888424
Yes;0;0,527473;0,002749;0,533601;0,097927;0,069726;0,006183;0,011811;0,414525;0,807624;0,585476;0;0,414512;0,893162
Yes;0;0,527473;0,00055;0,554435;0,103231;0,077241;0,001447;0,011811;0,400363;0,832879;0,599637;0;0,502622;0,899443
Yes;0;0,527473;0,00055;0,589225;0,102408;0,085425;0,002047;0,011811;0,305688;0,863068;0,694312;0;0,508668;0,902975
Yes;0;0,527473;0,004398;0,634874;0,100313;0,075889;0,014051;0,248031;0,336546;0,282676;0,663454;0;0,531798;0,806863
Yes;0;0,527473;0,00055;0,289568;0,138699;0,015701;0,009067;0;0,438881;0,770869;0,561119;0;0,644596;0,866162
Yes;0;0,527473;0,00055;0,261271;0,139389;0,029791;0,014653;0;0,353125;0,827214;0,646875;0;0,565393;0,864336
Yes;0;0,527473;0,00055;0,24816;0,137912;0,150276;0,012945;0;0,326469;0,87209;0,673531;0;0,656771;0,860278
Yes;0;0,527473;0,00055;0,241202;0,125697;0,082429;0,007794;0;0,339776;0,865545;0,660224;0;0,508668;0,860412
Yes;0;0,527473;0,00055;0,280953;0,140042;0,037944;0,008091;0;0,368602;0,851324;0,631398;0;0,529476;0,842181
Yes;0;0,527473;0,00055;0,247814;0,131728;0,023916;0,010758;0;0,300021;0,899176;0,699979;0;0,571439;0,857336
Yes;0;0,527473;0,00055;0,576997;0,077017;0,049652;0,001618;0,011811;0,423357;0,787571;0,576643;0;0,493054;0,915748
Yes;0;0,527473;0,004398;0,746708;0,119549;0,095715;0,027698;0,059055;0,322745;0,888575;0,677255;0;0,580397;0,819724
Yes;0,751382;0,516483;0,004398;0,717499;0,133123;0,062333;0,030099;0,059055;0,33443;0,880286;0,66557;0,039179;0,348617;0,818395
Yes;0;0,527473;0,004948;0,272429;0,105283;0,168526;0,014919;0,248031;0,287486;0,387514;0,712514;0;0,510517;0,804611
Yes;0;0,527473;0,004948;0,439935;0,093284;0,008882;0,002984;0,248031;0,317858;0,875069;0,682142;0;0,570002;0,80729
Yes;0;0,527473;0,00055;0,524498;0,16906;0,043964;0,000724;0,011811;0,375443;0,819918;0,624557;0;0,618429;0,893554
Yes;0;0,527473;0,0011;0,376128;0,206481;0,006281;0,019228;0,248031;0,334514;0,858186;0,665486;0;0,559654;0,876289
Yes;0;0,527473;0,0011;0,435045;0,184525;0,03511;0,005117;0,248031;0,342194;0,861546;0,657806;0;0,445898;0,879094
Yes;0;0,527473;0,0011;0,321372;0,210202;0,059666;0,012323;0,248031;0,343818;0,85591;0,656182;0;0,5675;0,872939
